platformBlocks
75, 675
75, 375
225, 375
375, 375
525, 375
675, 375
825, 375
975, 375
225, 675
375, 675
525, 675
675, 675
825, 675
975, 675
1125, 375
1275, 375
1125, 675
1275, 675
1425, 375
1425, 675
1575, 375
1725, 375
1575, 675
1725, 675
1875, 375
1875, 675
2025, 375
2025, 675
2625, 725
2775, 700
2475, 725
2175, 375
2175, 675
2925, 700
2325, 725
3075, 675
2325, 425
2475, 425
2625, 425
2775, 400
2925, 400
3225, 375
3075, 375
3225, 675
3375, 375
3375, 675
3525, 450
3675, 450
3825, 450
3525, 700
3675, 700
3825, 700
3975, 425
4125, 425
4275, 400
4425, 400
4575, 400
3975, 675
4125, 675
4275, 650
4425, 650
4575, 650
actionIndicators
checkpoints
player1
45, 640
player2
45, 340
enemies
1800, 325
1800, 275
1800, 625
1800, 575
killFloors
goalBlocks
breakableWalls
ziplines
