platformBlocks
50, 575
200, 575
350, 575
350, 450
500, 450
500, 575
650, 575
800, 575
950, 575
1100, 575
1250, 575
1400, 575
1550, 575
1700, 575
1850, 575
2000, 575
2150, 575
2300, 575
2450, 575
2600, 575
2750, 575
2900, 575
3050, 575
3200, 575
3350, 575
3500, 575
3650, 575
3800, 575
3950, 575
4100, 575
4250, 575
4400, 575
4550, 575
4700, 575
4850, 575
5000, 575
5150, 575
5300, 575
5450, 575
5600, 575
5750, 575
5900, 575
6050, 575
6200, 575
6350, 575
6500, 575
6650, 575
6800, 575
6950, 575
7100, 575
7250, 575
actionIndicators
playerCheckpoints
player
0, 540
enemies
killFloors
goalBlocks
5150, 525
breakableWalls
ziplines
placers
